brand,model,screenSize,screenTech,energyConsumption,star
bauhn,ATV70UHDW-0422,70,LCD,395,6
bauhn,ATV70UHDW-0923,70,LCD,395,6
bauhn,ATV70UHDW-1123,70,LCD,395,6
bauhn,ATV70UHDW-****,70,LCD,395,6
bauhn,ATV75UHDT-0423,74,LCD,480,6
bauhn,ATV75UHDW-0621,75,LED,393,6
bauhn,ATV75UHDW-0622,75,LED,469,6
bauhn,ATV75UHDW-0924,75,LCD,490,6
bauhn,ATV75UHDW-0324,75,LED,474,6
bauhn,ATV82UHDW-0721,82,LED,651,5.5
bauhn,ATV85UHDW-0122,85,LCD,600,6
bauhn,ATV85UHDW-0322,85,LCD,600,6
blaupunkt,BP240HSG9200,24,LCD,84,5
blaupunkt,BP240HSG9800,24,LCD,78,5
blaupunkt,BP240HSG9700,24,LED,105,4
blaupunkt,BP2400HDV7100W,24,LED,93,4.5
blaupunkt,BP24PTVW,24,LED,76,5.5
blaupunkt,BP24PTVP,24,LED,76,5.5
blaupunkt,BP24PTVBL,24,LED,76,5.5
blaupunkt,BP24PTVG,24,LED,76,5.5
blaupunkt,"BP24****（*=Blank, 0-9,A-Z,a-z for marketing purpose, no technical difference)",24,LED,76,5.5
blaupunkt,BP2400HDV7100,24,LCD,94,4.5
blaupunkt,BP24WOSDVD,24,LCD,107,4
blaupunkt,BP320HSG98,31,LCD,130,5
blaupunkt,BP320FSG98,31,LCD,130,5
blaupunkt,BP320HSG9800,32,LED,125,5
blaupunkt,BP3200HDV8100,32,LED,133,4.5
blaupunkt,BP32WOSDVD,32,LED,125,5
blaupunkt,BP3200HDV7100,32,LED,131,5
blaupunkt,BP320HSG9700,32,LCD,118,5.5
blaupunkt,BP4000HDV7100,40,LED,176,5
blaupunkt,BP400FSG9700,40,LCD,186,5
blaupunkt,BP400FSG9800,40,LCD,186,5
blaupunkt,BP400FSG98,40,LCD,186,5
blaupunkt,BP420FSG9200,41,LED,230,4.5
blaupunkt,BP420FSG9700,42,LED,240,4
blaupunkt,BP430FSG9800,42,LED,208,5
blaupunkt,BP430FSG9700C,42,LCD,199,5
blaupunkt,BP430FSG9700,43,LED,212,5
blaupunkt,BP500USG9200,49,LED,315,4.5
blaupunkt,BP50WOS,49,LED,288,4.5
blaupunkt,BP500USG9500,50,LED,210,6
blaupunkt,BP50WOS2,50,LED,330,4
blaupunkt,BP50WOS3,50,LED,400,3
blaupunkt,BP500USG9800,50,LED,370,3.5
blaupunkt,BP550USG9200,55,LED,330,5
blaupunkt,BP550USG9500,55,LCD,455,3.5
blaupunkt,BP500USG9700,55,LED,332,5
blaupunkt,BP550USG9700,55,LCD,380,4.5
blaupunkt,BP550USG98,55,LCD,349,4.5
blaupunkt,BP550USG9800,55,LCD,349,4.5
blaupunkt,BP580USG9700Q,57,LED,298,6
blaupunkt,BP580USG9200,57,LED,468,4
blaupunkt,BP580USG9500,57,LED,468,4
blaupunkt,BP580USG9300,58,LED,370,5
blaupunkt,BP58WOS,58,LED,405,4.5
blaupunkt,BP600USG9200,60,LED,405,5
blaupunkt,BP65WOS,65,LED,510,4.5
blaupunkt,BP650USG9500,65,LCD,467,4.5
blaupunkt,BP650USG9800,65,LED,422,5
blaupunkt,BP650USG9700,65,LED,400,5.5
blaupunkt,BP650USG9700Q,65,LED,370,6
blaupunkt,BP650USG9900,65,LED,483,4.5
blaupunkt,BP700USG9200,69,LED,640,4
blaupunkt,BP70WOS3,70,LED,550,4.5
blaupunkt,BP700UTS,70,LED,690,3.5
blaupunkt,BP700USG9700,70,LCD,561,4.5
blaupunkt,BP750USG9700Q,74,LED,485,6
blaupunkt,BP750USG9300,75,LCD,692,4
blaupunkt,BP750USG98,75,LCD,811,3.5
blaupunkt,BP750USG9700,75,LED,656,4.5
blaupunkt,BP75WOS,75,LED,682,4.5
blaupunkt,BP750USG9800,75,LED,648,4.5
blaupunkt,BP750USG9200,75,LED,758,4
blaupunkt,BP750USG9500,75,LED,758,4
blaupunkt,BP85WOS2,85,LED,722,5
blaupunkt,BP850WOSQ,85,LCD,980,3.5
blaupunkt,BP85WOS,85,LCD,743,5
blaupunkt,BP860USG9700,86,LED,988,4
blaupunkt,BP100WOSQ,98,LED,1284,4
brooklyn,BM32WOSDVD,32,LED,125,5
caixun,LE-24T2,24,LED,70,5.5
caixun,LE-24T3,24,LED,70,5.5
caixun,LE-24V1,24,LED,70,5.5
caixun,LE-24V2,24,LED,70,5.5
caixun,LE-24V3,24,LED,70,5.5
caixun,EC24P28,24,LED,68,6
caixun,EC24N1,24,LED,68,6
caixun,EC24N2,24,LED,68,6
caixun,EC24N3,24,LED,68,6
caixun,EC24N4,24,LED,68,6
caixun,EC24Z1,24,LED,68,6
caixun,EC24Z2,24,LED,68,6
caixun,EC24 series,24,LED,68,6
caixun,EC32S1N,32,LED,119,5
caixun,EC32T1HN,32,LED,110,5.5
caixun,EC32T2HN,32,LED,110,5.5
caixun,EC32T1HA,32,LED,110,5.5
caixun,EC32T2HA,32,LED,110,5.5
caixun,EC32V1HA,32,LED,110,5.5
caixun,EC32V2HA,32,LED,110,5.5
caixun,EC32V1HN,32,LED,110,5.5
caixun,EC32T1N,32,LED,110,5.5
caixun,EC32T3H,32,LED,110,5.5
caixun,*****32*****,32,LED,110,5.5
caixun,LE-32V1,32,LED,110,5.5
caixun,LE-32K1,32,LCD,98,6
caixun,LE-32S1,32,LCD,98,6
caixun,LE-32F2,32,LCD,98,6
caixun,"LE-32K1, LE-32S1, LE-32F2",32,LCD,98,6
caixun,LE-39T1,38,LED,138,6
caixun,LE-39T2,38,LED,138,6
caixun,LE-39T3,38,LED,138,6
caixun,LE-39V1,38,LED,138,6
caixun,LE-39V2,38,LED,138,6
caixun,LE-39V3,38,LED,138,6
caixun,LE-40N1,39,LCD,155,5.5
caixun,LE-40F2,39,LCD,155,5.5
caixun,LE-40S1,39,LCD,155,5.5
caixun,"LE-40N1, LE-40F2, LE-40S1",39,LCD,155,5.5
caixun,EC40V1FA,40,LED,151,6
caixun,LE-40T2,40,LED,151,6
caixun,LE-40T3,40,LED,151,6
caixun,LE-40V1,40,LED,151,6
caixun,LE-40V2,40,LED,151,6
caixun,LE-40V3,40,LED,151,6
caixun,LE-42T1,41,LED,159,6
caixun,LE-42T2,41,LED,159,6
caixun,LE-42T3,41,LED,159,6
caixun,LE-42V1,41,LED,159,6
caixun,LE-42V2,41,LED,159,6
caixun,LE-42V3,41,LED,159,6
caixun,LE-43T1,42,LED,162,6
caixun,LE-43T2,42,LED,162,6
caixun,LE-43T3,42,LED,162,6
caixun,LE-43V1,42,LED,162,6
caixun,LE-43V2,42,LED,162,6
caixun,LE-43V3,42,LED,162,6
caixun,EC43S1UA,43,LED,196,5
caixun,EC43P28UA,43,LED,196,5
caixun,EC43N1UA,43,LED,196,5
caixun,EC43N2UA,43,LED,196,5
caixun,EC43N3UA,43,LED,196,5
caixun,EC43N4UA,43,LED,196,5
caixun,EC43F2UA,43,LED,196,5
caixun,EC43S2UA,43,LED,196,5
caixun,EC43F3UA,43,LED,196,5
caixun,LE-43N1,43,LCD,220,4.5
caixun,LE-43F2,43,LCD,220,4.5
caixun,LE-43S1,43,LCD,220,4.5
caixun,"LE-43N1, LE-43F2, LE-43S1",43,LCD,220,4.5
caixun,EC50S1UA,50,LED,278,5
caixun,EC50P28UA,50,LED,278,5
caixun,EC50N1UA,50,LED,278,5
caixun,EC50N3UA,50,LED,278,5
caixun,EC50F2UA,50,LED,278,5
caixun,EC50F3UA,50,LED,278,5
caixun,EC50S2UA,50,LED,278,5
caixun,EC55S1UA,55,LED,307,5
caixun,EC55P28UA,55,LED,307,5
caixun,EC55N1UA,55,LED,307,5
caixun,EC55N3UA,55,LED,307,5
caixun,EC55F2UA,55,LED,307,5
caixun,EC55F3UA,55,LED,307,5
caixun,EC55S2UA,55,LED,307,5
chiq,L24D6C,24,LCD,82,5
chiq,L24G5W,24,LED,82,5
chiq,L24K3,24,LED,78,5
chiq,L32K5,31,LED,126,5
chiq,L32G7H,31,LED,104,6
chiq,L32G5W,31,LED,131,5
chiq,L32D6C,31,LED,112,5.5
chiq,L32G7PG,31,LED,116,5.5
chiq,L32K3,32,LED,150,4
chiq,L32G7KPG,32,LED,116,5.5
chiq,L40K5,39,LED,184,5
chiq,L40G7H,39,LED,184,5
chiq,L40G5W,39,LED,185,5
chiq,L40G7P,39,LED,189,5
chiq,L40G7PG,39,LED,189,5
chiq,U43G7H,42,LED,240,4.5
chiq,U43G7P,42,LED,240,4.5
chiq,U43G7PG,42,LED,214,5
chiq,U50G7PG,49,LED,276,5
chiq,U50G7H,49,LED,265,5
chiq,U50G7P,49,LED,265,5
chiq,U55G7H,55,LED,349,4.5
chiq,U55QM8V,55,LED,415,4
chiq,U55G7PG,55,LED,320,5
chiq,U55G7P,55,LED,349,4.5
chiq,U58H10,57,LED,411,4.5
chiq,U58G7PG,57,LED,349,5
chiq,U65H10,64,LED,506,4.5
chiq,U65G7H,64,LED,506,4.5
chiq,U65G7P,64,LED,506,4.5
chiq,U65QM8VG,64,LED,579,4
chiq,U65G7PG,64,LED,404,5.5
chiq,U65QM8V,65,LED,572,4
chiq,U70M9Q,70,LED,481,5.5
chiq,U75F8TG,75,LED,532,5.5
chiq,U75F8T,75,LED,506,5.5
chiq,U75M9,75,LCD,608,5
chiq,U85F8TG,85,LED,974,4
chiq,U98F8TG,97,LED,1233,4
chiq,U98F8TG PRO,98,LED,1233,4
concentric care,24-D1-3663,24,LED,110,3.5
devanti,STV-668-HD-32-BK,32,LED,101,6
devanti,STV-316-FHD-40-BK,39,LED,182,5
devanti,STV-668-UHD-50-BK,50,LED,276,5
devanti,STV-668-UHD-65-BK,65,LED,395,5.5
devanti,STV-316W-UHD-65,65,LED,554,4
devanti,STV-311W-UHD-75,75,LED,760,4
dgtec,DG40FHDNF,39,LCD,149,6
dgtec,DG55UHDNF,55,LED,251,6
dgtec,DG5521WOS,55,LCD,256,6
dgtec,DG65UHDNF,65,LED,362,6
dgtec,DG65UHDOS,65,LED,371,6
dynalink,S 8866,24,LCD,76,5.5
eko,K240HGT,24,LCD,78,5
eko,K240HAT,24,LED,110,3.5
eko,K240HSG,24,LED,70,5.5
eko,K32FSG11,31,LCD,130,5
eko,K320SN,32,LED,119,5
eko,K320HAT,32,LED,151,4
eko,K32HSG,32,LED,116,5.5
eko,K320HATTA,32,LED,130,5
eko,K320HGT,32,LED,125,5
eko,K32HSW2,32,LED,131,5
eko,K32HST,32,LED,131,5
eko,K32HSWV12,32,LED,131,5
eko,K32DVD,32,LCD,131,5
eko,K32HSW,32,LED,134,4.5
eko,K320HSG,32,LCD,118,5.5
eko,K400DVD,40,LCD,175,5
eko,K40FSW,40,LED,180,5
eko,K400FAT,40,LED,210,4.5
eko,K400FSG,40,LCD,186,5
eko,K400FGT,40,LCD,186,5
eko,K400USN,40,LED,182,5
eko,K40FSG,40,LED,185,5
eko,K420FSG,41,LED,230,4.5
eko,K42FSG,41,LED,230,4.5
eko,K42FSW2,42,LCD,260,3.5
eko,K420FAT,42,LED,240,4
eko,K42FSW3,42,LED,230,4
eko,K42FST,42,LED,204,5
eko,K430FGT,42,LED,208,5
eko,K43FSG11,43,LED,212,5
eko,K430USGQ,43,LCD,191,5.5
eko,K45FSW,46,LCD,245,5
eko,K500UGT,49,LCD,376,3.5
eko,K500USN,49,LED,273,5
eko,K500USG,50,LED,210,6
eko,K50USW2,50,LED,330,4
eko,K500UAT,50,LED,381,3.5
eko,K50USW3,50,LED,317,4.5
eko,K50UST,50,LED,284,5
eko,K55DVAQ,55,LCD,380,4.5
eko,K550USGQ,55,LED,271,6
eko,K55USG,55,LED,260,6
eko,K55USW2,55,LCD,301,5.5
eko,K55USTW,55,LCD,339,5
eko,K550USN,55,LED,370,4.5
eko,K55USWQ,55,LED,470,3.5
eko,K55USWQ2,55,LED,470,3.5
eko,K55USW3,55,LED,379,4.5
eko,K55USW,55,LCD,385,4
eko,K550UGT,55,LCD,349,4.5
eko,K550UGT2,55,LCD,349,4.5
eko,K550UAT,55,LCD,404,4
eko,K550UATW,55,LCD,404,4
eko,K55OLED,55,OLED,275,5.5
eko,K550USG,55,LED,273,6
eko,K580USGQ,57,LED,298,6
eko,K580USN,58,LED,357,5
eko,K58USW,58,LED,378,4.5
eko,K58USG,58,LCD,346,5
eko,K65DVAQ,64,LCD,725,3
eko,K650UAT,65,LCD,540,4
eko,K650UATW,65,LCD,540,4
eko,K650USNP,65,LED,448,5
eko,K65USG,65,LED,485,4.5
eko,K65USTW,65,LCD,416,5.5
eko,K650USG,65,LED,520,4.5
eko,K650UGT,65,LED,554,4
eko,K650UGT2,65,LED,422,5
eko,K650USN,65,LED,496,4.5
eko,K65USWQ2,65,LED,462,5
eko,K65USW,65,LED,581,4
eko,K65USW2,65,LED,581,4
eko,K650USGQ,65,LED,370,6
eko,K650USGQ2,65,LCD,858,2
eko,K650UGTQ,65,LCD,858,2
eko,K65USW3,65,LCD,465,5
eko,K70USG,69,LED,640,4
eko,K70USW2,70,LCD,532,5
eko,K700UGT2,70,LCD,592,4.5
eko,K700UATW,70,LCD,561,4.5
eko,K70USW,70,LED,572,4.5
eko,K70USW3,70,LED,850,2.5
eko,K700USG,70,LED,590,4.5
eko,K750UGT,75,LCD,811,3.5
eko,K750UGTWQ,75,LCD,811,3.5
eko,K750USN,75,LED,590,5
eko,K75QHZ,75,LCD,832,3.5
eko,K75USW,75,LCD,840,3.5
eko,K750UGT2,75,LCD,610,5
eko,K75USWW,75,LCD,600,5
eko,K75USW2,75,LED,682,4.5
eko,K75USG,75,LED,758,4
eko,K750USG,75,LED,758,4
eko,K85USW,85,LED,1116,3
elitelux,US58UHD20G10,58,LED,343,5
englaon,LED22M60,22,LED,102,4
englaon,LED24M40,24,LED,70,5.5
englaon,LED24M50,24,LED,95,4.5
englaon,LED24M80,24,LED,78,5
englaon,LED24X80,24,LED,78,5
englaon,24in Smart TV,24,LED,78,5
englaon,LED24M30,24,LED,108,4
englaon,LED24X70,24,LED,102,4.5
englaon,LED24X90,24,LED,102,4.5
englaon,"LED24X70, LED24X90",24,LED,102,4.5
englaon,LED27M80,30,LED,158,4
englaon,LED27X80,30,LED,158,4
englaon,27in Smart TV,30,LED,158,4
englaon,LED32M50,32,LED,163,4
englaon,LED32X70,32,LED,148,4.5
englaon,LED32X90,32,LED,148,4.5
englaon,LED32M10,32,LED,150,4.5
englaon,LED32M80,34,LED,175,4.5
englaon,LED32X80,34,LED,175,4.5
englaon,32in Smart TV,34,LED,175,4.5
englaon,LED40X70,40,LED,140,6
englaon,LED40X90,40,LED,140,6
englaon,Smart LED TV,40,LED,140,6
ffalcon,FF32RS52,31,LED,99,6
ffalcon,FF32S53,31,LED,110,5.5
ffalcon,FF40RS52,39,LED,144,6
ffalcon,FF40S53,39,LED,180,5
ffalcon,FF43RU62,42,LED,160,6
ffalcon,43UF3,42,LED,170,6
ffalcon,FF43U63,42,LED,178,5.5
ffalcon,FF43U64,42,LED,170,6
ffalcon,FF50RU62,49,LED,190,6
ffalcon,FF50U63,49,LED,204,6
ffalcon,FF50U64,49,LED,200,6
ffalcon,FF55RU62,55,LED,190,7
ffalcon,FF55U63,55,LED,250,6
ffalcon,FF55U64,55,LED,240,6
ffalcon,FF65RU62,64,LED,220,8
ffalcon,65UF3,64,LED,300,6
ffalcon,FF65U63,64,LED,327,6
ffalcon,FF65U64,64,LED,350,6
ffalcon,FF75RU62,75,LED,450,6
ffalcon,FF75U63,75,LED,500,5.5
ffalcon,FF75U64,75,LED,460,6
furrion,FDFD24A0D,24,LCD,85,5
furrion,FDFD24D4D,24,LCD,120,3.5
furrion,FDFD24D4D-H2,24,LED,96,4.5
furrion,FDFD24D3D,24,LED,107,4
gorilla,GSTV32TV3,31,LED,104,6
gorilla,GSTV32V2,32,LED,101,6
gorilla,GSTV40,39,LED,182,5
gorilla,GSTV42TV1,41,LED,160,6
gorilla,GSTV43,43,LED,200,5
gorilla,GSTV55V2,55,LED,300,5.5
hisense,32S4,32,LED,104,6
hisense,32A4G,32,LED,104,6
hisense,32A4HAU,32,LED,104,6
hisense,32A4KAU,32,LED,93,6
hisense,32A4NAU,32,LED,93,6
hisense,32A4NNZ,32,LED,93,6
hisense,32A4N,32,LED,93,6
hisense,40S4,40,LED,144,6
hisense,40A4G,40,LED,135,6
hisense,40A4HAU,40,LED,135,6
hisense,40A4KAU,40,LED,121,7
hisense,40A4NAU,40,LED,121,7
hisense,40A4NNZ,40,LED,121,7
hisense,40A4N,40,LED,121,7
hisense,43Q6NAU,42,LED,229,4.5
hisense,43Q6NNZ,42,LED,229,4.5
hisense,43Q6N series,42,LED,229,4.5
hisense,43S4,43,LED,154,6
hisense,43S8,43,LED,264,4
hisense,43A7G,43,LED,240,4.5
hisense,43A7HNZ,43,LED,242,4.5
hisense,43A7HAU,43,LED,242,4.5
hisense,43A7H series,43,LED,242,4.5
hisense,43A7KAU,43,LED,259,4
hisense,43A7KNZ,43,LED,259,4
hisense,43A7K series,43,LED,259,4
hisense,49S4,49,LED,212,6
hisense,50S8,50,LED,318,4.5
hisense,50S5,50,LED,284,5
hisense,50A7G,50,LED,254,5.5
hisense,50A6G,50,LED,284,5
hisense,50A6HAU,50,LED,254,5.5
hisense,50Q6NAU,50,LED,227,6
hisense,50Q6NNZ,50,LED,227,6
hisense,50Q6N series,50,LED,227,6
hisense,55U7G,55,LED,380,4.5
hisense,55S8,55,LED,378,4.5
hisense,55Q8,55,LED,476,3.5
hisense,55Q7,55,LED,378,4.5
hisense,55A7G,55,LED,304,5.5
hisense,55U8G,55,LED,468,3.5
hisense,55A7HAU,55,LED,304,5.5
hisense,55A7HNZ,55,LED,304,5.5
hisense,55A7H series,55,LED,304,5.5
hisense,55U6HNZ,55,LED,339,5
hisense,55U7HAU,55,LED,380,4.5
hisense,55U7HNZ,55,LED,380,4.5
hisense,55U7H series,55,LED,380,4.5
hisense,55U8HAU,55,LED,476,3.5
hisense,55U8HNZ,55,LED,476,3.5
hisense,55U8H series,55,LED,476,3.5
hisense,55A7KAU,55,LED,305,5.5
hisense,55A7KNZ,55,LED,305,5.5
hisense,55A7K series,55,LED,305,5.5
hisense,55U7KAU,55,LED,339,5
hisense,55U7KNZ,55,LED,339,5
hisense,55U7K series,55,LED,339,5
hisense,55U6KAU,55,LED,339,5
hisense,55U6KNZ,55,LED,339,5
hisense,55U6K series,55,LED,339,5
hisense,55U7NAU,55,LED,381,4.5
hisense,55U7NNZ,55,LED,381,4.5
hisense,55U7N series,55,LED,381,4.5
hisense,55U6NAU,55,LED,339,5
hisense,55U6NNZ,55,LED,339,5
hisense,55U6N series,55,LED,339,5
hisense,55Q6NAU,55,LED,239,6
hisense,55Q6NNZ,55,LED,239,6
hisense,55Q6N series,55,LED,239,6
hisense,55X8HAU,55,OLED,319,5
hisense,58S5,58,LED,298,6
hisense,58A6G,58,LED,335,5.5
hisense,58A6HAU,58,LED,335,5.5
hisense,58A6KAU,58,LED,299,6
hisense,65U7NAU,64,LED,464,5
hisense,65U7NNZ,64,LED,464,5
hisense,65U7N series,64,LED,464,5
hisense,65U8G,65,LCD,638,3.5
hisense,65S8,65,LED,416,5.5
hisense,65Q8,65,LED,520,4.5
hisense,65SX,65,LED,648,3.5
hisense,65Q7,65,LED,568,4
hisense,65A7G,65,LED,458,5
hisense,65U7G,65,LED,492,4.5
hisense,65U80G,65,LED,812,2.5
hisense,65U9G,65,LED,649,3.5
hisense,65A7HNZ,65,LED,416,5.5
hisense,65A7HAU,65,LED,416,5.5
hisense,65A7H series,65,LED,416,5.5
hisense,65U6HNZ,65,LED,416,5.5
hisense,65U7HAU,65,LED,464,5
hisense,65U7HNZ,65,LED,464,5
hisense,65U7H series,65,LED,464,5
hisense,65U8HAU,65,LED,638,3.5
hisense,65U8HNZ,65,LED,638,3.5
hisense,65U8H series,65,LED,638,3.5
hisense,65U9HAU,65,LED,649,3.5
hisense,65A7KAU,65,LED,399,5.5
hisense,65A7KNZ,65,LED,399,5.5
hisense,65A7K series,65,LED,399,5.5
hisense,65U7KAU,65,LED,459,5
hisense,65U7KNZ,65,LED,459,5
hisense,65U7K series,65,LED,459,5
hisense,65U8KAU,65,LED,520,4.5
hisense,65U8KNZ,65,LED,520,4.5
hisense,65U8K series,65,LED,520,4.5
hisense,65U6KAU,65,LED,555,4
hisense,65U6KNZ,65,LED,555,4
hisense,65U6K series,65,LED,555,4
hisense,65U6NAU,65,LED,416,5.5
hisense,65U6NNZ,65,LED,416,5.5
hisense,65U6N series,65,LED,416,5.5
hisense,65Q6NAU,65,LED,369,6
hisense,65Q6NNZ,65,LED,369,6
hisense,65Q6N series,65,LED,369,6
hisense,65UXAU,65,LED,569,4
hisense,65U8NAU,65,LED,639,3.5
hisense,65U8NNZ,65,LED,639,3.5
hisense,65U8N Series,65,LED,639,3.5
hisense,65X8HAU,65,OLED,369,6
hisense,65X9HAU,65,OLED,459,5
hisense,70A6NNZ,70,LED,430,6
hisense,70A6NAU,70,LED,430,6
hisense,70A6N Series,70,LED,430,6
hisense,70S5,70,LED,422,6
hisense,70A6G,70,LED,422,6
hisense,70A6KAU,70,LED,415,6
hisense,75A7G,75,LED,528,5.5
hisense,75U8G,75,LED,683,4.5
hisense,75U9G,75,LED,683,4.5
hisense,75A7HNZ,75,LED,528,5.5
hisense,75A7HAU,75,LED,528,5.5
hisense,75A7H series,75,LED,528,5.5
